地名,地名ID,英文地名,去过人数,描述,当地top1,当地top2,当地top3
平遥,68,Píng Yáo,12246,平遥即平遥县，隶属于山西省晋中市下属的一个县，面积1260平方公里，人口49万。世界文化遗产之一。平遥与云南丽江、安徽歙县、四川阆中并成为我国现存四座完好的古城， 至今已有2700多年的历史。被联合国教科文组织列为世界文化遗产。负载着浓厚历史气息的城墙、极具传统特色的院落以及令人垂涎欲滴的美食都向人们展示着平遥延续至今的千年韵味。,平遥古城,乔家大院,平遥古城墙
庐山,69,Lushan,10514,庐山屏蔽着江西的北大门，以 雄、奇、险、秀闻名于世，素有“匡庐奇秀甲天下”之美誉。巍峨挺拔的青峰秀峦、喷雪鸣雷的银泉飞瀑、瞬息万变的云海奇观、俊奇巧秀的园林建筑，一展庐山的 无穷魅力。庐山尤以盛夏如春的凉爽气候为中外游客所向往，是久负盛名的风景名胜区和避暑游览胜地。,庐山三叠泉,庐山五老峰,庐山如琴湖
腾冲,70,Tengchong,4821,腾冲是位于中国云南省西部中缅边境的一个县。中国大陆唯一的火山地热并存地区。历史上曾是古西南丝绸之路的要冲。由于地理位置重要，历代都派重兵驻守，明代还建造了石头城，称之为“极边第一城”。腾冲99座火山、88处温泉，其中高黎贡山是横断山脉的明珠，在亚欧板块和印度板块的激烈碰撞中生成。腾冲不但有蔚为壮观的火山群、地热群，还有火山奇观。,和顺古镇,腾冲热海,腾冲火山地热国家地质公园
兰州,71,Lanzhou、Lanchow,13365,兰州北达敦煌，南抵甘南，西至西宁，东入银川，可以说是到西部旅游的必经之地。黄河水奔腾不绝，自西向东流过兰州，使得黄河沿岸的“百里黄河风情线”成了兰州最突出的景点，中山桥、水车园、黄河母亲雕像，以及夜晚的白塔山夜景，都是来到兰州不能错过的景致。,甘肃省博物馆,中山桥,白塔山公园
台中,72,Taichung,5817,台中市是台湾省的直辖市之一，位于台湾中部，是台湾中部唯一的直辖市。北与苗栗县、新竹县接壤、南临彰化县、南投县、东隔中央山脉与宜兰县、花莲县相邻，西临台湾海峡。台中市是台湾中小企业与精密机械最重要的聚集地，许多台湾的著名企业都将总部设在台中。台中市的旅游资源以艺术人文展示馆为主，如自然科学博物馆、台湾美术馆、台中市立文化中心、台中民俗公园、丰乐雕塑公园等；若要欣赏自然风光或娱乐，则须至东北郊的大坑风景区一带，当地以亚哥花园、东山乐园最具知名度。台湾许多著名的小吃，在台中都可以找到，市内还有众多的个性餐厅及庭园餐厅。,东海大学,宫原眼科,高美湿地
亚丁,73,Yading,2199,说在青藏高原雪山深处的一个隐秘地方，有一个被双层雪山环抱王国，那里有雪山、冰川、峡谷、森林、草甸、湖泊、金矿及纯净的空气，这个王国就是香巴拉王国，被称为水蓝色的星球上的最后一片净土，也就是今天的稻城亚丁。在稻城亚丁，极目远跳，天地浩瀚无垠，乱石铺天盖地，憾人心魄，1145个高山湖泊散落于嶙峋乱石间，碧蓝如玉，景色极为壮观，因而稻城亚丁被誉为最后的香巴拉。,香格里拉镇,龙同坝,十六尊者
北戴河,74,beidaihe,16880,北戴河区为我国著名旅游度假区，二十里长、曲折平坦的沙质海滩，沙软潮平，背靠树木葱郁的联峰山，构成了一道美丽的风景。北戴海滨地处河北省秦皇岛市的西 部，与北京，天津，秦皇岛，兴城，葫芦岛形成一条黄金旅游带。,鸽子窝公园,老虎石海上公园,北戴河海滨浴场
南宁,75,Nanning,11795,南宁，位于广西中部偏南，是红豆的故乡，也是一座历史悠久的边陲古城。南宁别称绿城、凤凰城、五象，是广西第一大城市，北部湾经济区核心城市，具有深厚的文化积淀，古称邕州，是一个以壮族为主的多民族和睦相处的现代化城市。居住着壮、汉、苗、瑶等36个少数民族。,青秀山风景区,南湖公园,扬美古镇
甘南,76,Gannan,4313,甘南藏族自治州是全国十个藏族自治州之一，位于中国甘肃省南部， 甘南藏族自治州地处青藏高原东北边缘。以优美的藏族弹唱闻名于藏区。甘南是丝绸之路和唐蕃古道的重要组成部分。,拉卜楞寺,扎尕那,郎木寺(安多达仓郎木赛赤寺)
舟山,77,Zhoushan、Chusan,8635,舟山，有着丰富的自然资源，舟山群岛自然风光秀丽，气候宜人，山海景观奇特、名胜古迹众多。“海天佛国”普陀山、“列岛晴沙”嵊泗、“东海蓬莱”岱山、“沙雕故乡”朱家尖、“金庸笔下”桃花岛、“文化名城”定海，“城市渔港”沈家门，“蓬莱仙岛”岱山等，1390个岛屿象一颗颗璀璨的珍珠，洒落在浩瀚无垠的大海中，玩海、吃海鲜是这里永恒的主题……,普陀山,东极岛,东福山岛
武夷山,78,Mountain Wuyi,8752,武夷山位于中国东南部福建省西北的武夷山市。武夷山的自然风光独树一帜，尤其以“丹霞地貌”著称于世。典型的丹霞地貌、萦回环绕的九曲溪、再加上神秘的古闽越族文化。九曲溪沿岸的奇峰和峭壁， 映衬着清澈的河水，构成一幅奇妙秀美的杰出景观。武夷山保存着大量完整无损、多种多样的林带，是中国亚热带森林和南中国雨林最大、最具有代表性的例证。,武夷山风景区,天游峰景区,九曲溪
普陀山,79,Mount Putuo,10216,普陀山，国家5A级旅游风景区。与山西五台山、四川峨眉山、安徽九华山并称为中国佛教四大名山，是观世音菩萨教化众生的道场，不少名胜古迹，都与观音结下了不解之缘，流传着美妙动人的传说。普陀山以其神奇、神圣、神秘， 成为驰誉中外的旅游胜地。普陀山四面环海，风光旖旎，幽幻独特，被誉为“第一人间清净地”。步入庙宇，烧香，虔诚地跪拜，在弥漫的香火中，聆听着诵经木鱼声，来一场心灵之旅。,普济寺景区,法雨寺景区,南海观音像
双廊,80,Shuanglang,7293,双廊在洱源县的东南和洱海的东岸，古名拴廊，一名良甸村。双廊南有长约7公里的弧形海岸，名莲花曲，北有长约5公里的弧形海湾，称罗莳曲，二典形如两条长廊，是洱海著名的九曲中的二曲。双廊地处洱海东岸的“莲花曲”和“萝时曲”之上，距下关35公里。这个“苍海风光第一镇”曾是个小渔村，静逸是她最大的特点，不用特意寻找，眼前的一切就是美景。,玉几岛(天生营),大建旁村,月亮宫
宏村,81,Hóng Cūn,7691,宏村，古称弘村，是古黟桃花源里一座奇特的牛形古村落，枕雷岗面南湖，山水明秀，享有“中国画里的乡村”之美称。 宏村距今约有900年的历史，至今依旧较好地保存着数百户粉墙青瓦、鳞次栉比的古民居群，特别是精雕细镂、飞金重彩的承志堂、敬修堂；气度恢宏、古朴宽敞的东贤堂、三立堂；森严的叙仁堂、上元厅等祠堂和南湖书院；巷门幽深，青石街道旁古朴的观店铺……同平滑似镜的月沼和碧波荡漾的南湖，雷岗上参天古木、民居庭院中的百年牡丹与探过墙头的青藤石木，构成一个完美的艺术整体。,月沼湖,木坑竹海,南湖
郑州,82,Zhengzhou,14722,曾是华夏文明的发源地，承载着璀璨的千年文明，日月轮回，朝代更迭，在历史的舞台上演绎过精彩，在悠悠岁月中饱经沧桑，现在的它虽已洗尽铅华，但在历史的推动下这里又孕育出新的美丽，郑州——正如那滔滔的黄河之水，向世人源源不绝的展示着其昔日与今朝的无限魅力……文物古迹众多，有古城、古文化、古墓葬、古建筑、古关隘和古战场在内的遗址遗迹达1万余处。,少林寺,嵩山,河南博物院
千岛湖,83,Qiaodaohu,11399,千岛湖，是上海经济区和旅游城市杭州的“后花园”，位于浙江淳安，是世界上岛屿最多的湖。千岛湖湖水清澈见底，大小岛屿宛如星斗点缀其间，晨时暮间浓雾翻滚恍如仙境，且凉气袭人，是国内外休闲避暑胜地。,千岛湖中心湖区,千岛湖森林氧吧,梅峰岛
乌鲁木齐,84,Urumqi,9582,乌鲁木齐位于新疆维吾尔自治区中北部，天山中段北麓、准噶尔盆地南缘。乌鲁木齐是新疆维吾尔自治区首府。乌鲁木齐市北有准东油田，西有克拉玛依油田，南有塔里木油田，东有吐哈油田，且地处准噶尔储煤带的中部，市辖区内煤炭储量就达100亿吨以 上，被称为“油海上的煤船”。,新疆国际大巴扎,维吾尔自治区博物馆,南山风景区
阿坝,85,Aba,5321,阿坝州位于我国四川省，它保留了世界上别的地方早已绝迹的动植物资源，如熊猫、珙桐等活化石；保留了在工业文明中难以找到的静谧、古朴的壮丽自然景观，如九寨沟、黄龙等世界自然遗产。阿坝草原辽阔，雪山耸列，江河纵横，融气势磅礴、广袤宽阔、俊秀幽深于一体。地形地貌复杂、沟谷交错、气候多样，构成独特的地理环境，阿坝州被世界旅游专家誉为世界生态旅游最佳目的地。,九寨沟风景区,黄龙风景区,毕棚沟风景区
黔东南,86,Qiandongnan,5001,黔东南有着嘹亮悦耳、情深意长的歌子，饱经沧桑却依然静默屹立的古城， 还有清秀的山，灵动的水…黔东南苗族侗族自治州位于贵州省东南部。东邻湖南省怀化地区，南接广西壮族自治区柳州、河池地区，西连黔南布依族苗族自治州，北 抵遵义、铜仁两地区。,西江千户苗寨,镇远古镇,肇兴侗寨
喀纳斯,87,Kanas Lake,5272,喀纳斯，蒙古语是美丽富庶、神秘莫测的意思。喀纳斯是中国新疆阿勒泰地区布尔津县北部一著名淡水湖，位于阿尔泰山脉中，曾被称为“中国最后一片净土”，富有瑞士风光特色。外形呈月牙状，被推测为古冰川强烈运动阻塞山谷积水而成。该湖风景优美，四周林木茂盛，主要居民为图瓦人。被誉为“东方瑞士、摄影师天堂”。喀纳斯湖风景优美，四周林木茂盛，主要居民为图瓦人，为中国国家5A级旅游景区。,喀纳斯风景区,喀纳斯湖,月亮湾
威海,88,Weihai,13515,威海市为山东省港口城市。威海城区在明以前，为海滨渔村。汉称石落村。元改称清泉夼。明洪武年间，为防倭寇侵扰，设立“威海卫”。威海市是全国投资硬环境40优城市，也是全国综合经济实力50强城市。硬朗的山和澎湃的水，润泽的山和柔美的水，丰茂的山和碧蓝的水，山和水的种种风貌。山和水就是一只闪亮的皇冠，成为威海最壮美的华服。,刘公岛,成山头风景区,神雕山野生动物保护区
周庄,89,Zhou Zhuang,13861,周庄始建于1086年，是隶属于江苏省昆山市和上海交界处的一个典型的江南水乡小镇，周庄因水成街，因水成路，水滋润着周庄，水丰富着周庄，水是周庄的灵魂，“水乡小巷多，人家尽枕河”。于2003年被评为中国历史文化名镇，最为著名的景点有：沈万三故居、富安桥、双桥、沈厅、怪楼、周庄八景等。沈厅为清式 院宅，整体结构严整，局部风格各异；此外还有澄虚道观、全福讲寺等宗教场所。,周庄古镇,双桥,沈厅
普宁,90,Puning City,1423,普宁市位于广东省东南部潮汕平原西缘，中国最大的衬衣生产基地，华南最大的中药材基地，粤东最大的服装、烟草、茶叶、水果、纺织品等集散地，普宁还是中国著名侨乡，中国共产党革命老区。普宁四季如春，素有“水寨之乡”的美称，普宁以山水风光、天然温泉、潮人文化、革命迹地、宗教寺庙等名胜古迹为特色，构成了普宁特有的自然、人文游景观。,德安里,普宁广场,莲花山公园
来宾,91,Laibin City,1763,来宾市为广西壮族自治区管辖的地级市，位于居广西中部，故有“桂中”之称，又因资源物产丰富，有“广西煤都”、“中国糖都”、“世界瑶都”等美称。深居广西腹部，经济、交通地位十分重要，地缘优势十分明显。同时境内旅游资源丰富。有亚洲现存规模最大、保存最完整的土司建筑群，被喻为“壮乡故宫”的忻城县莫氏土司衙署；有着“中南第一温泉”美称的象州花池温泉，以及圣堂山，莲花山等。,圣堂山,百崖大峡谷,莲花山旅游风景区
张家港,92,Zhangjiagang,1246,张家港位于长江下游南岸，是苏州的县级市，全境地势平坦，河港纵横，有大小河道6033条，气候温和，四季分明。境内的 双山、香山、凤凰山、东渡苑等主要景区合称“三山一苑”，不仅山青水秀，还有丰富的人文历史典故。此外，景点还有世纪广场、暨阳湖公园、张家港公园、沙洲公园等。,恬庄古街,苏州江南农耕文化园,杨舍老街
嵊山,93,shengshan,1277,嵊山是我国渔港重镇。清光绪时，已形成渔港集镇，港埠繁荣。近年发展海洋养殖，成为浙江省最大的鲜活海产品出口基地。岛上景观除渔港风貌外，自然景观也相当怡人，可爱的奇石象形有双人石、夫妻峰，峻险直泻如东崖绝壁等。东崖是分布于岛东部的一组海蚀崖，岩性为浅肉红色钾长花岗石，自后岭头屿至鳗鱼头岛，山势自半山腰颓然直泻入海，形成连绵3公里的陡崖绝壁，最高处达70余米，山花藤萝附壁悬挂，长波涌浪穿礁拍崖，激荡轰鸣，气势雄浑壮观。,东崖绝壁,后头湾村,大玉湾沙滩
永济,94,Yongji City,1195,永济市地处山西省西南端，古称蒲坂，史为舜都，后改为泰州、蒲州，一直是古河东地区的政治、经济、文化和军事中心，位于秦、晋、豫三省交汇的黄河金三角区域中心，是山西省的南大门。永济市历史悠久，是中华民族的发祥地之一，人杰地灵，贤才辈出，唐宋八大家之一的柳宗元，著名诗人王维，山西戏曲四大剧种之一的蒲剧和我国武术拳种之一的“形意六合拳”就发源于此。市内旅游资源丰富，有中国四大历史名楼之一的鹳雀楼、《西厢记》故事发生地普救寺、被誉为“国宝”的唐开元大铁牛、国家森林公园五老峰等。,普救寺,鹳雀楼景区,五老峰
鸡鸣驿古城,95,cock-yi,1150,鸡鸣驿城位于河北省张家口市怀来县鸡鸣驿乡鸡鸣驿村，是一处建于明代的驿站遗存，因电影《大话西游》的结尾片段在鸡鸣驿的西门城楼上拍摄而声名大振。鸡鸣驿城是中国邮传、军驿的宝贵遗存，具有很高的文物价值。驿站里最有名的“贺家大院”曾是八国联军打进北京时，慈禧太后和光绪皇帝逃难留宿的地方。泰山庙的壁画也是来鸡鸣驿一定要看的。,指挥署,文昌宫,驿丞署
西柏坡,96,Xibaipo,1461,西柏坡位于石家庄市平山县内，距华北重镇石家庄90公里，是全国著名的五大革命圣地之一。1948年5月，中共中央、中国人民解放军总部进驻，这个山村成为中国共产党领导全国人民和解放军与国民党进行战略大决战，创建新中国的指挥中心。解放战争时期毛主席、党中央在此指挥了震惊中外的三大战役，召开了著名的七届二中全会。西柏坡主要景点有西柏坡纪念馆，中共中央旧址等。,西柏坡纪念馆,岗南水库,中共中央遗址
乐昌,97,Lechang,1402,乐昌市位于韶关市北部，粤北边陲，毗邻湖南，素有“广东北大门”之称，是客家人聚居地。乐昌境内山水奇特，风景秀丽，有丹霞地貌景观、喀斯特地貌景观、溶岩洞穴及地下河景观以及温泉等自然资源，还有红七军在梅花战斗指挥部旧址、万古金城等人文历史景观，旅游资源丰富。,九峰镇,乐昌九峰山,龙王潭
宝兴,98,Baoxing County,1041,宝兴县位于四川西部，雅安市北部，夹金山下，1869年法国传教士阿尔芒·戴维德在盐井乡蜂桶寨自然保护区邓池沟发现大熊猫，是四川西部大熊猫生态旅游环线上的重要节点。境内有蜂桶寨国家级大熊猫自然生态保护区及夹金山国家森林公园；有宛如世外桃源、可观“春花、夏林、秋叶、冬雪”且有“八月桂花四月开”奇异景观的赶羊沟；有戴维制作“动物活化石”大熊猫、“植物活化石”珙桐、“昆虫活化石”达维两栖甲标本的场所，是生态休闲避暑度假的旅游胜地。,东拉山大峡谷,神木垒风景区,夹金山风景区
恩平,99,Enping City,1473,恩平市位于广东省西南部、珠江三角洲西南端，濒临南海，毗邻港澳，。东北面与开平市相邻，东南面与台山市相邻，西南面和西面与阳东县、阳春县相邻，西北面与新兴县相邻，南面濒临浩瀚的南海是粤中粤西地区交汇地，是珠三角地区得天独厚的山水名市。恩平山清水秀，风景优美，气候宜人，境内有河溪、水库、森林、石山、岩洞、瀑布、温泉，是游览的好地方。市内弄七星坑原始森林是珠三角最后一片原始森林。是中国著名侨乡、温泉之乡。,鳌峰山,恩平歇马举人村,歇马村
八宿,100,Baxoi County,1075,八宿县位于西藏东部，是进藏前往拉萨的必经之地，进藏路途遥远，旅途辛劳，在此做些停留，玩赏这高原中的低谷，吃上一只新宰的羔羊，别有一番情调。这里视野开阔，景色迷人，人文景观各县特色、交通快捷、能源丰富，是中外宾客旅游、观光、探险寻迷、科学考察和投资开发的理想之地，如多拉神山，嘎玛沟，仁措湖，同卡寺等。,然乌湖,怒江72拐,业拉山
昭平,101,Zhaoping,1078,处于桂粤结合地带，位于广西东部、漓江下游，东邻贺州市八步区，西靠梧州市蒙山县，东南与梧州市苍梧县接壤，西南与梧州市藤县交界，北与桂林市荔蒲县、平乐县和贺州市钟山县相依。 昭平山川秀丽，风景旖旎，境内旅游资源丰富。境内最著名的旅游景点是黄姚古镇。这是一个有着近千年历史的古镇，素有“诗境家园”之称， 位列中国最美十大古镇之一，宁静而美丽。此外境内还有，七冲原始森林、五叠泉瀑布、马三家瀑布、黄花山温泉、孔明岩、出气岩、九如洞、北陀古墓群、天然睡佛等景色迷人的景区。,黄姚古镇,带龙桥,古镇石板街
瑞金,102,Ruijin City,1312,瑞金位于武夷山脉南段西麓，赣江东源贡水上游，是通江达海的交通要地，地扼赣闽咽喉，素为赣闽粤三省通衢，历史悠久，拥有汉代古墓葬、古窑址及明清古建筑等。瑞金是闻名中外的红色故都，是苏区时期党中央驻地、中华苏维埃共和国临时中央政府诞生地、中央红军二万五千里长征出发地，现在又是全国爱国主义和革命传统教育基地，是中国重要的红色旅游城市。,瑞金叶坪红色旅游景区,瑞金红井,瑞金中央革命根据地历史博物馆
灵川,103,Lingchuan,1294,"灵川县位于广西壮族自治区东北部, 地处湘桂走廊南端，东、西、北三面环抱历史文化旅游名城桂林市区，东北与兴安县，东南与灌阳县、恭城县交界，西北与龙胜县为邻，西与临桂县接壤，南与阳朔县相连。拥有独特的地理地貌和气候，旅游资源丰富。 有银江晚渡, 百嶂霁云、西峰夕照、象山独蹲, 金钟古刹, 九龙穿岩, 尧山晴雷等灵川老八景。还有青狮潭旅游度假区，海洋银杏林田园风光景区，广西四大古镇之一的大圩古镇，金山禅院，古东瀑布景区等受游客欢迎的旅游景点。",古东瀑布,大圩古镇,海洋村
周村,104,zhoucun,1325,周村位于淄博西部，号称“天下第一村”，据传为清代乾隆皇帝所题，享有“旱码头”、“金周村”、“丝绸之乡”之美誉。走进周村古商城，恍惚间仿佛来到了一处古代的热闹街市，石板铺就的大街，青砖古瓦的店铺，牌匾上烫金的老字号，布市银街、当铺药店、茶楼染坊、客栈古玩依稀可见曾经的繁华与喧嚣，感受着隐藏在角落里历史的气息，感受着这个活着的千年古商城的独特魅力。,周村古商城,大染坊,周村烧饼博物馆
赤柱,105,Stanley,1098,赤柱是香港岛南端的一个景色秀丽小镇，位于浅水湾的东方，石澳的西方，是香港著名的旅游景点。当香港还是英国殖民地的时期，赤柱曾是英军军事据点，也曾是香港岛的行政中心。赤柱拥有很多优美的海滩，如“香江八景”之一的赤柱东湾，每当朝阳升起，倒映的霞光在水面形成一道红柱，因此得到“赤柱朝晖”的美名。赤柱市场是到赤柱旅游最不能错过的地方，赤柱大街又称”酒吧街“也是吃喝玩乐的好去处。,赤柱海湾,香港惩教博物馆,赤柱监狱
长海,106,Changhai County,1072,长海，又称长山群岛，是中国东北地区唯一的海岛县，全县共由252个海岛组成，其中：有居民海岛18个，无居民海岛234个。长海的旅游资源主要分布在大长山岛、小长山岛、广鹿岛、獐子岛、海洋岛、海王九岛等一些大的岛屿上，总长359公里的海岸线，遍布了近百处大小港湾，水道纵横，风景奇美。长海各类旅游景点30余处，主要景点有三元宫、祈祥园、马祖庙等，旅游休闲船舶130艘，拥有渔家旅店300户、宾馆和度假村180家，是中国北方知名的海岛旅游胜地。,哈仙岛,广鹿岛,大长山岛
定西,107,Dingxi,1943,定西地处黄河上游，位于甘肃中部，是一片古老、广阔、美丽的土地，自古就是丝绸之路的“重镇”，又是新欧亚大陆桥的必经之地，其历史悠久，环境秀丽。拥有众多名胜古迹和自然风光，其主要景观有：国家级、省级森林公园贵清山、遮阳山、莲峰山等享誉国内外。新石器时代著名的马家窑、齐家、寺洼等文化遗址，战国秦长城遗址，汉代新莽权衡、唐明皇御笔“哥舒翰记功碑”、元代墓葬群、明代铜钟等国家重点文物，同时还有渭源灞陵桥、陇西威远楼等古老建筑。,威远楼,天井峡景区,渭河源头
长汀,108,Changting County,1069,长汀县是福建省龙岩市下辖的一个县，位于福建省西部，是福建省第五大县。地处福建省西部、武夷山脉南麓，是距省会福州最远的山区县。是国家历史文化名城，历史悠久，新西兰女作家路易·艾黎曾说过，中国最美丽的两个山城就是湖南的凤凰和福建的长汀。境内的旅游资源以客家文化和红色旅游为特色。境内有唐代古城墙，卧龙山风景区，朝斗岩风景区，福建省苏维埃政府旧址，瞿秋白烈士纪念碑，红四军司令部、政治部旧址—辛耕别墅等景点。,长汀古城,汀州古城,长汀县博物馆
鄯善,109,Shanshan,1188,鄯善县位于新疆维吾尔自治区东部，天山东段博格达峰南麓，吐鲁番盆地东部。东与哈密市接壤，西邻吐鲁番市，北越天山接木垒县、奇台县等县，南越觉罗塔格山 延伸至塔里木盆地的若羌县。是无核白葡萄和哈密瓜真正故乡，是全国最大的无核白葡萄、鲜食葡萄生产基地。 鄯善是全国第二大澎润土资源地、是世界十大煤矿资源地、是世界第二大钠硝石资源地、是中国吐哈油田的主战场，这里有中国西北最富有特色的吐鲁番沙漠风景区。,吐峪沟麻扎村,鄯善县城,陕西大寺
衡东,110,Hengdong County,1316,衡东县是著名的“鱼米之乡”、“皮影戏之乡”、“花鼓戏之乡”、“剪纸之乡”和“印章之乡”，也是全国唯一的“中国土菜名县”。衡东县旅游资源十分丰富。著名自然景观：楚南第一景——锡岩仙洞，素有“小漓江”之称的洣水，省级森林公园四方山、金觉峰等。著名人文景观：中国红色旅游区——罗荣桓故居，中共金融史上第一家革命银行——柴山洲特别区第一农民银行旧址（夏拜公祠），总投资20余亿的国家重点工程——大源渡航电枢纽工程，始建于唐朝同光年的灵山庙，历史悠久的吴集古镇，状元牌坊，观音禅寺，欧阳海烈士纪念碑等,南岳大庙,锡岩仙洞,望日台
迭部,111,Diebu,1528,"迭部县位于甘南藏族自治州南部甘川交界处，白龙江上游的高山峡谷地带，藏语的意思是""大拇指""，被称为是山神""摁""开的地方。迭部境内有红军长途中的""俄界会议""会址、茨日那毛泽东故居、天险腊子口战役、然闹马家窑文化遗址等历史遗址，以及历史悠久的藏传佛教寺院23座，境内山清水秀，人杰地灵，风光旖旎，森林广布，是甘肃不可多得的一座绿色资源宝库。",扎尕那,腊子口,东哇村
沂水,112,Yishui,1136,沂水县不仅是著名的革命老区，而且它境内的水资源和森林资源都非常丰富，所以开发潜力巨大，自然资源也是十分的丰富。来到这里你一定不能错过雪山树木葱郁，奇石林立的雪山彩虹谷；更不能错过气势磅礴，奇特壮观的地下大峡谷；你也可以追随着萤火虫的身影，来到地下萤光湖观赏似满天繁星的萤火虫。如果你是个爱国喜爱历史的人，那么你一定要来位于沂水县夏蔚镇的沂蒙山红色旅游区，这里有中共山东分局旧址、八路军山东纵队指挥部旧址，是全国著名的四大根据地之一。这就是沂水，一个自然与人文景观结合的旅游胜地。,山东地下大峡谷,天上王城景区,雪山彩虹谷
青阳,113,Qingyang County,1151,青阳县位于安徽省南部，长江南岸，是池州市下辖的一个县，东临南陵、泾县，南连石台、黄山，西交贵池，北与铜陵接攘。地势南高北低，素有“七山一水一分田，一分道路和庄园”之称。生态环境较好，森林覆盖率高，境内有九华山国家森林公园，青通河、九华河、七星河等发达的天然水系。历史悠久，民间艺术发达，目连戏、傩戏、九华民歌在这里广为传唱。境内有中国四大佛教名山之一的九华山，佛教文化源远流长，每年吸引海内外大批游客前来参观，朝拜。,天台景区,肉身宝殿,百岁宫
平武,114,Pingwu,1021,平武处于绵阳北部，位于四川盆地西北部，青藏高原向四川盆地过渡的东缘地带，具有典型的山地地貌景观。境内山清水秀，森林茂密，有国家一级保护动物大熊猫、金丝猴、扭角羚等，是“熊猫的故乡”。境内旅游资源众多，有报恩寺、王朗自然保护区、泗耳自然保护区、小河沟自然保护区、北山公园、龙池坪森林公园、白马民族风情等浏览景区。,虎牙大峡谷,白马王朗国家级自然保护区,平武报恩寺
巍山,115,Weishen Xian,1115,巍山是文献名邦，历史文化悠远流长，风景名胜荟萃。目前已发现新石器时代的遗址16处， 各级各类馆藏文物共2100多件，省、州、县各级重点文物保护单位有30多处，保存完好的巍山古城，古朴的民风、适宜的气候及深厚的文化底蕴，造就了巍山人神闲气定的生活性格。这是一片神奇的土地，是旅游、观光、度假、疗养和考古的极好地方。,巍宝山景区,上关花公园,拱辰楼
洪雅,116,Hongya,1052,洪雅位于四川盆地西南，是生态大县，素有“七山二水一分田”的美誉，境内拥有瓦屋山、七里坪、柳江古镇、槽渔滩四大景区，是四川省重要的生态、休闲、度假旅游胜地。位于洪雅县城南20公里处的八面山，名胜古迹随处可见，主要有苟王寨和尖峰古城。,柳江古镇,眉山瓦屋山国家森林公园,瓦屋山
凭祥,117,Pingxiang City,1057,"凭祥市位于广西壮族自治区西南部的边境线上，是崇左市代管的一个县级市。凭祥市是一个口岸城市，与越南的谅山接壤。素有""祖国南大门""之称，是中国最靠近东盟国家的国际化城市。是广西最主要的两个边境口岸之一，也是是我国通往越南及东南亚最大和最便捷的陆路通道。凭祥市还是广西著名的边境旅游城市，境内有中国九大名关之一——友谊关；美丽的白玉洞；有中法战争古战场遗址——平岗岭地下长城、金鸡山古炮台、大连城和大清国万人坟等景点。",凭祥友谊关,匠止烈士陵园,平岗岭
沙县,118,Sha County,1381,沙县位于福建省中部偏北，隶属福建省三明市，自古即为闽西北重要商品集散地，商贾云集，素有“金沙县”之称。沙县因沙县小吃闻名全国而被大家所熟知，其实，除了各种美食，沙县名胜古迹众多，有中国最大的依山凿刻石卧佛定光佛、唐代兴国寺、宋代理学家罗从彦祠堂、明起义首领邓茂七山寨、清代城隍庙等。自然景观有淘金山、七仙洞、松柏岩、十里平流 、七峰叠翠、吕峰山风景区等。,淘金山,大佑山,三明七仙洞
嵊州,119,Shengzhou City,1227,"嵊州市是浙江省绍兴市的一个县级市，位于浙东丘陵中部，曹娥江上游，新嵊盆地中，东与奉化、余姚相邻，南和新昌交界，西连诸暨、东阳，北接上虞、绍兴，是北进杭州、南下温州，西通金华、东达宁波的要冲。是全国第一批经济开放县（市）、全国县域经济基本竞争力百强县市。嵊州市今已有2100多年历史，以“百年越剧、千年剡溪、万年小黄山遗址”闻名于世,是马寅初、任光、王金发、郑午昌、刘文西、马晓春、袁雪芬等名家名人的故乡。市内还有，马寅初故居、百丈飞瀑、百丈飞瀑漂流、冰川火山谷，剡溪漂流景区、清溪漂流、崇仁古镇、城隍庙、 王羲之故居、华堂村、小黄山遗址等景点。",王羲之故居,崇仁千年古镇,嵊州百丈飞瀑
梅林镇,120,Meilin,1423,梅林镇位于南靖县西北部，三团溪在此北向汇入书教溪，风光优美。梅林镇历史悠久，拥有土楼900多座，也是著名的侨乡之一。其中世界文化遗产“和贵楼”、“怀远楼”和中国景观村落梅林村、官洋村等早已声名远扬。同时，梅林镇还拥有南华岩、土楼妈祖庙、节孝旌表坊、岩永靖军政委员会旧址纪念馆科岭革命烈士纪念碑、生态观光茶园等特色旅游资源。除了土楼外，梅林还拥有成片明清时期的典型江南古民居建筑群。,怀远楼,河坑土楼群,顺裕楼
云阳,121,Yunyang,1340,云阳，位于重庆市东北部，长江三峡工程库区腹心地带，历史悠久，古先民留下了丰厚的历史遗存。除此之外，云阳自然景观迷人，自古便有“凤山春色”、“龙川夜涛”、“山崖滴翠”等“云安八景”而名扬蜀东旅游资源丰富，张飞庙、龙脊石、盘石城、下岩寺、长滩河风景区、龙缸龙洞等都是云阳的著名景点。,云阳龙缸国家地质公园,张飞庙,龙缸景区
龙门古镇,122,Longmen,1305,龙门古镇，位于杭州市西南52公里的富春江南岸，村内以独特的明、清古建筑群而闻名，是现今江南地区明清古建筑群中保存较为完整的山乡古镇，三国时东吴大帝孙权的后裔聚居于此。汉名士严子陵游览龙门山时称赞“此地山清水秀，胜似吕梁龙门”，龙门古镇因此得名。龙门古镇是我国古代宗族聚居形态的典型，至今仍较完好地保存着明清两代建筑群与古街风貌。,砚池夜月,迎曦堂,义门流芳
